ACC#	body	xenopus	human
P19338	Nucleoli	Non Dynamic	Cdk target
P19388	Nucleoli	Non Dynamic	Non Cdk target
P19474	Stress granules	Non Dynamic	Non Cdk target
P19525	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P19622	Nucleoli	Non Dynamic	Non Cdk target
P19784	Nucleoli	Non Dynamic	Non Cdk target
P19878	Nucleoli	Non Dynamic	Non Cdk target
P20042	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P20472	Nucleoli	Non Dynamic	Non Cdk target
P20700	Nucleoli,P-bodies	Non Dynamic	Cdk target
P20962	Nucleoli	Non Dynamic	Non Cdk target
P21281	Speckles	Non Dynamic	Non Cdk target
P21291	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P21333	Nucleoli	Dynamic	Cdk target
P21462	Nucleoli	Non Dynamic	Non Cdk target
P21781	Nucleoli	Non Dynamic	Non Cdk target
P21953	Nucleoli	Non Dynamic	Non Cdk target
P22087	Nucleoli,Cajal bodies	Non Dynamic	Non Cdk target
P22102	Speckles	Non Dynamic	Non Cdk target
P22314	Stress granules	Non Dynamic	Cdk target
P22626	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P23193	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P23246	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P23284	Nucleoli	Non Dynamic	Non Cdk target
P23396	Nucleoli,P-bodies	Non Dynamic	Cdk target
P23511	PML bodies	Non Dynamic	Cdk target
P23528	Stress granules	Non Dynamic	Non Cdk target
P23588	Stress granules	Dynamic	Non Cdk target
P23769	PML bodies,Superenhancers-Mediator	Non Dynamic	Cdk target
P23786	Nucleoli	Non Dynamic	Non Cdk target
P24534	Nucleoli	Non Dynamic	Non Cdk target
P24844	Nucleoli	Non Dynamic	Non Cdk target
P24864	Cajal bodies	Non Dynamic	Cdk target
P24928	Speckles	Dynamic	Cdk target
P24941	Stress granules,Nucleoli,Cajal bodies	Non Dynamic	Cdk target
P25205	Nucleoli,Stress granules	Dynamic	Cdk target
P25311	P-bodies	Non Dynamic	Non Cdk target
P25490	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P25788	Speckles	Non Dynamic	Non Cdk target
P25789	Speckles	Non Dynamic	Non Cdk target
P26196	Stress granules,P-bodies	Non Dynamic	Non Cdk target
P26232	Stress granules	Non Dynamic	Non Cdk target
P26358	Nucleoli	Non Dynamic	Cdk target
P26368	Nucleoli,Speckles	Non Dynamic	Cdk target
P26373	Nucleoli	Non Dynamic	Non Cdk target
P26378	Stress granules	Non Dynamic	Non Cdk target
P26439	Nucleoli	Non Dynamic	Non Cdk target
P26447	Nucleoli	Non Dynamic	Non Cdk target
P26583	Nucleoli	Non Dynamic	Non Cdk target
P26599	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P26641	Nucleoli	Dynamic	Non Cdk target
P26651	Stress granules	Non Dynamic	Non Cdk target
P27348	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P27695	Nucleoli	Non Dynamic	Non Cdk target
P27816	Stress granules,Nucleoli	Dynamic	Cdk target
P28356	Nucleoli	Non Dynamic	Non Cdk target
P28562	Nucleoli	Non Dynamic	Non Cdk target
P29034	Nucleoli	Non Dynamic	Non Cdk target
P29350	Nucleoli	Non Dynamic	Non Cdk target
P29508	P-bodies	Non Dynamic	Non Cdk target
P29590	PML bodies	Non Dynamic	Cdk target
P29692	Nucleoli	Non Dynamic	Cdk target
P30041	Stress granules	Non Dynamic	Non Cdk target
P30050	Nucleoli,PML bodies	Non Dynamic	Cdk target
P30101	Nucleoli,Stress granules	Non Dynamic	Cdk target
P30154	Stress granules	Non Dynamic	Non Cdk target
P30291	Nucleoli	Non Dynamic	Cdk target
P30876	Stress granules	Non Dynamic	Non Cdk target
P31040	Nucleoli	Non Dynamic	Non Cdk target
P31327	Nucleoli	Non Dynamic	Non Cdk target
P31483	Stress granules	Non Dynamic	Non Cdk target
P31689	Nucleoli	Non Dynamic	Non Cdk target
P31942	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P31943	Nucleoli,Speckles,Stress granules	Dynamic	Cdk target
P31946	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P31947	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P31948	Stress granules	Non Dynamic	Non Cdk target
P32119	Nucleoli	Non Dynamic	Non Cdk target
P32322	Stress granules,PML bodies	Non Dynamic	Cdk target
P32969	Nucleoli	Non Dynamic	Non Cdk target
P33981	Nucleoli	Dynamic	Cdk target
P33991	Nucleoli,Stress granules	Dynamic	Cdk target
P33992	Stress granules,Nucleoli	Dynamic	Non Cdk target
P33993	Nucleoli,Stress granules,P-bodies	Non Dynamic	Cdk target
P34932	Stress granules	Non Dynamic	Non Cdk target
P35226	Nucleoli	Non Dynamic	Non Cdk target
P35249	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P35250	Nucleoli	Non Dynamic	Non Cdk target
P35251	Nucleoli	Dynamic	Cdk target
P35268	Nucleoli	Non Dynamic	Non Cdk target
P35269	Cajal bodies,Nucleoli	Dynamic	Cdk target
P35520	Nucleoli	Non Dynamic	Non Cdk target
P35544	Nucleoli	Non Dynamic	Non Cdk target
P35544;P62861	Nucleoli	Non Dynamic	Non Cdk target
P35573	Speckles	Non Dynamic	Non Cdk target
P35579	Nucleoli	Non Dynamic	Non Cdk target
P35580	P-bodies	Non Dynamic	Non Cdk target
P35637	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P35658	NPC	Dynamic	Non Cdk target
P35659	Nucleoli	Dynamic	Non Cdk target
P35813	Nucleoli	Non Dynamic	Non Cdk target
P36269	Nucleoli	Non Dynamic	Non Cdk target
P36383	Nucleoli	Non Dynamic	Non Cdk target
P36404	Nucleoli	Non Dynamic	Non Cdk target
P36578	Nucleoli	Non Dynamic	Non Cdk target
P36873	Speckles,Nucleoli,Cajal bodies	Non Dynamic	Non Cdk target
P37108	Nucleoli	Non Dynamic	Non Cdk target
P37198	NPC	Non Dynamic	Non Cdk target
P38159	P-bodies	Non Dynamic	Non Cdk target
P38398	53BP1 bodies	Non Dynamic	Cdk target
P38432	Cajal bodies,Nucleoli	Non Dynamic	Cdk target
P38646	Stress granules	Non Dynamic	Non Cdk target
P38919	Nucleoli,P-bodies	Non Dynamic	Cdk target
P39023	Nucleoli	Non Dynamic	Non Cdk target
P39748	Nucleoli	Non Dynamic	Cdk target
P40227	Stress granules	Non Dynamic	Non Cdk target
P40429	Nucleoli	Non Dynamic	Non Cdk target
P40763	Speckles	Non Dynamic	Non Cdk target
P40937	Nucleoli	Non Dynamic	Non Cdk target
P40938	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P41091	Nucleoli	Non Dynamic	Non Cdk target
P41212	Nucleoli	Non Dynamic	Non Cdk target
P41218	Nucleoli	Non Dynamic	Non Cdk target
P41227	Nucleoli	Non Dynamic	Non Cdk target
P42025	Stress granules	Non Dynamic	Non Cdk target
P42224	Stress granules	Non Dynamic	Non Cdk target
P42285	Nucleoli	Non Dynamic	Non Cdk target
P42330	Nucleoli	Non Dynamic	Non Cdk target
P42338	Nucleoli	Non Dynamic	Non Cdk target
P42345	Stress granules	Non Dynamic	Non Cdk target
P42677	Nucleoli	Non Dynamic	Cdk target
P42694	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P42695	Nucleoli	Dynamic	Non Cdk target
P42696	Nucleoli	Non Dynamic	Non Cdk target
P42771;Q8N726	Nucleoli	Non Dynamic	Non Cdk target
P43003	Nucleoli	Non Dynamic	Non Cdk target
P43034	Speckles	Non Dynamic	Non Cdk target
P43243	P-bodies	Non Dynamic	Non Cdk target
P43268	Nucleoli	Non Dynamic	Non Cdk target
P43487	Stress granules	Non Dynamic	Non Cdk target
P45379	Nucleoli	Non Dynamic	Non Cdk target
P45973	Nucleoli	Non Dynamic	Cdk target
P45974	Stress granules	Dynamic	Non Cdk target
P45983	Stress granules	Non Dynamic	Non Cdk target
P46013	Nucleoli,Stress granules	Dynamic	Cdk target
P46063	Nucleoli	Dynamic	Non Cdk target
P46087	Nucleoli	Non Dynamic	Cdk target
P46777	Nucleoli	Non Dynamic	Non Cdk target
P46778	Nucleoli	Non Dynamic	Non Cdk target
P46821	Speckles	Non Dynamic	Cdk target
P46937	PML bodies,Nucleoli	Non Dynamic	Cdk target
P47755	Stress granules,Speckles	Non Dynamic	Non Cdk target
P47914	Nucleoli	Non Dynamic	Non Cdk target
P47929	P-bodies	Non Dynamic	Non Cdk target
P47989	Nucleoli	Non Dynamic	Non Cdk target
P48506	Nucleoli	Non Dynamic	Non Cdk target
P48539	Nucleoli	Non Dynamic	Non Cdk target
P48552	Nucleoli	Non Dynamic	Non Cdk target
P48634	Stress granules	Non Dynamic	Cdk target
P48729	Nucleoli	Non Dynamic	Non Cdk target
P48730	Nucleoli	Non Dynamic	Non Cdk target
P48739	Speckles	Non Dynamic	Non Cdk target
P49069	Nucleoli	Dynamic	Non Cdk target
P49207	Nucleoli	Non Dynamic	Non Cdk target
P49368	Nucleoli	Non Dynamic	Non Cdk target
P49411	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P49458	Stress granules	Non Dynamic	Non Cdk target
P49674	Nucleoli	Non Dynamic	Non Cdk target
P49715	Nucleoli	Non Dynamic	Non Cdk target
P49736	Nucleoli,Stress granules	Non Dynamic	Cdk target
P49748	Speckles,Nucleoli	Non Dynamic	Non Cdk target
P49756	P-bodies	Dynamic	Non Cdk target
P49758	Nucleoli	Non Dynamic	Non Cdk target
P49760	Speckles	Non Dynamic	Non Cdk target
P49770	Speckles	Non Dynamic	Non Cdk target
P49789	Nucleoli	Non Dynamic	Non Cdk target
P49790	NPC	Dynamic	Cdk target
P49792	PML bodies,NPC	Dynamic	Cdk target
P49795	Nucleoli	Non Dynamic	Non Cdk target
P49916	Stress granules	Non Dynamic	Cdk target
P49959	53BP1 bodies,Nucleoli	Non Dynamic	Non Cdk target
P50219	Nucleoli	Non Dynamic	Non Cdk target
P50479	Stress granules	Non Dynamic	Non Cdk target
P50539	Nucleoli	Non Dynamic	Non Cdk target
P50552	Stress granules	Dynamic	Non Cdk target
P50607	Nucleoli	Non Dynamic	Non Cdk target
P50613	Nucleoli	Non Dynamic	Cdk target
P50750	Nucleoli,Superenhancers-Mediator	Non Dynamic	Cdk target
P50895	Nucleoli	Non Dynamic	Non Cdk target
P50995	Stress granules	Non Dynamic	Non Cdk target
P51114	Stress granules,PML bodies	Non Dynamic	Non Cdk target
P51116	Stress granules	Non Dynamic	Non Cdk target
P51513	Nucleoli	Non Dynamic	Non Cdk target
P51532	Nucleoli	Dynamic	Non Cdk target
P51553	Nucleoli	Non Dynamic	Non Cdk target
P51659	Nucleoli	Non Dynamic	Non Cdk target
P51812	Stress granules,Nucleoli	Dynamic	Non Cdk target
P51991	Stress granules	Non Dynamic	Non Cdk target
P52272	P-bodies,Nucleoli	Dynamic	Non Cdk target
P52292	Nucleoli	Non Dynamic	Non Cdk target
P52294	Stress granules	Non Dynamic	Non Cdk target
P52434	Nucleoli	Non Dynamic	Non Cdk target
P52597	Stress granules,Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P52737	Nucleoli	Non Dynamic	Non Cdk target
P52746	Nucleoli	Non Dynamic	Non Cdk target
P52756	Speckles	Non Dynamic	Non Cdk target
P52895	Nucleoli	Non Dynamic	Non Cdk target
P52926	Nucleoli	Non Dynamic	Non Cdk target
P52943	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P52948	NPC,Stress granules	Dynamic	Cdk target
P53365	Nucleoli	Non Dynamic	Non Cdk target
P53582	Nucleoli	Non Dynamic	Non Cdk target
P53803	Nucleoli	Non Dynamic	Non Cdk target
P53804	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
P53999	Nucleoli	Non Dynamic	Non Cdk target
P54132	Nucleoli,53BP1 bodies	Non Dynamic	Cdk target
P54198	PML bodies	Non Dynamic	Cdk target
P54252	Nucleoli	Non Dynamic	Non Cdk target
P54253	Nucleoli	Non Dynamic	Non Cdk target
P54257	Nucleoli	Non Dynamic	Non Cdk target
P54274	Nucleoli	Non Dynamic	Cdk target
P54577	Stress granules	Non Dynamic	Non Cdk target
P54652	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
P54886	Stress granules	Non Dynamic	Non Cdk target
P55072	Stress granules	Non Dynamic	Non Cdk target
P55081	Stress granules	Non Dynamic	Non Cdk target
P55199	Cajal bodies	Non Dynamic	Non Cdk target
P55265	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P55317	Nucleoli	Non Dynamic	Non Cdk target
P55735	NPC	Non Dynamic	Non Cdk target
P55769	Nucleoli	Non Dynamic	Non Cdk target
P55795	Stress granules	Non Dynamic	Cdk target
P55884	Stress granules,Speckles	Non Dynamic	Non Cdk target
P56182	Nucleoli	Non Dynamic	Non Cdk target
P56378	Nucleoli	Non Dynamic	Non Cdk target
P56537	Nucleoli	Non Dynamic	Non Cdk target
P56545	Speckles	Non Dynamic	Non Cdk target
P56557	Nucleoli	Non Dynamic	Non Cdk target
P56962	Nucleoli	Non Dynamic	Non Cdk target
P57678	Nucleoli	Non Dynamic	Non Cdk target
P57740	NPC	Non Dynamic	Cdk target
P58107	Stress granules	Non Dynamic	Non Cdk target
P58317	Nucleoli	Non Dynamic	Non Cdk target
P58397	Nucleoli	Non Dynamic	Non Cdk target
P59998	Nucleoli	Non Dynamic	Non Cdk target
P60228	Stress granules	Non Dynamic	Non Cdk target
P60709	Nucleoli	Non Dynamic	Non Cdk target
P60842	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P60981	Stress granules	Non Dynamic	Non Cdk target
P60983	Speckles	Non Dynamic	Non Cdk target
P61011	Nucleoli	Non Dynamic	Non Cdk target
P61088	Nucleoli	Non Dynamic	Non Cdk target
P61158	Nucleoli	Non Dynamic	Non Cdk target
P61160	Nucleoli	Non Dynamic	Non Cdk target
P61218	Nucleoli	Non Dynamic	Non Cdk target
P61221	Nucleoli	Non Dynamic	Non Cdk target
P61224	Speckles	Non Dynamic	Non Cdk target
P61247	Speckles,Nucleoli	Non Dynamic	Non Cdk target
P61254	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
P61289	Cajal bodies	Non Dynamic	Non Cdk target
P61586	Stress granules	Non Dynamic	Non Cdk target
P61626	P-bodies	Non Dynamic	Non Cdk target
P61956	Nucleoli,PML bodies	Non Dynamic	Non Cdk target
P61964	Nucleoli	Non Dynamic	Non Cdk target
P61978	Stress granules,Speckles,Nucleoli	Dynamic	Cdk target
P61981	Nucleoli	Non Dynamic	Non Cdk target
P62068	Nucleoli	Non Dynamic	Non Cdk target
P62136	Nucleoli	Dynamic	Cdk target
P62140	Nucleoli	Dynamic	Cdk target
P62249	P-bodies	Non Dynamic	Non Cdk target
P62258	Nucleoli	Non Dynamic	Non Cdk target
P62280	Nucleoli	Non Dynamic	Non Cdk target
P62304	Cajal bodies	Non Dynamic	Non Cdk target
P62306	Stress granules	Non Dynamic	Non Cdk target
P62308	Cajal bodies	Non Dynamic	Non Cdk target
P62310	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P62312	Nucleoli	Non Dynamic	Non Cdk target
P62314	Cajal bodies	Non Dynamic	Non Cdk target
P62316	Nucleoli	Dynamic	Non Cdk target
P62380	Nucleoli	Non Dynamic	Non Cdk target
P62424	Nucleoli	Non Dynamic	Non Cdk target
P62495	Nucleoli	Non Dynamic	Non Cdk target
P62633	Stress granules	Non Dynamic	Non Cdk target
P62701	P-bodies	Dynamic	Non Cdk target
P62750	Nucleoli	Non Dynamic	Non Cdk target
P62820	Stress granules	Non Dynamic	Non Cdk target
P62834	Speckles	Non Dynamic	Non Cdk target
P62854	Nucleoli	Non Dynamic	Non Cdk target
P62875	Nucleoli	Non Dynamic	Non Cdk target
P62877	Nucleoli	Non Dynamic	Non Cdk target
P62906	Nucleoli	Non Dynamic	Non Cdk target
P62913	Nucleoli,PML bodies	Non Dynamic	Cdk target
P62917	Nucleoli	Non Dynamic	Non Cdk target
P62937	Nucleoli	Non Dynamic	Non Cdk target
P62952	Nucleoli	Non Dynamic	Non Cdk target
P62979	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
P62995	Nucleoli	Non Dynamic	Non Cdk target
P63000	Nucleoli	Non Dynamic	Non Cdk target
P63010	PML bodies	Non Dynamic	Non Cdk target
P63096	Nucleoli	Non Dynamic	Non Cdk target
P63104	Nucleoli	Non Dynamic	Non Cdk target
P63162	Cajal bodies	Non Dynamic	Non Cdk target
P63165	Nucleoli	Non Dynamic	Non Cdk target
P63167	Stress granules	Non Dynamic	Non Cdk target
P63208	Speckles,Nucleoli	Non Dynamic	Non Cdk target
P63241	Nucleoli	Non Dynamic	Non Cdk target
P63244	Nucleoli	Non Dynamic	Non Cdk target
P63261	Nucleoli	Non Dynamic	Non Cdk target
P63279	Nucleoli	Non Dynamic	Cdk target
P67809	Stress granules	Dynamic	Non Cdk target
P67870	PML bodies,Nucleoli	Non Dynamic	Cdk target
P68104	Nucleoli	Non Dynamic	Non Cdk target
P68363	Nucleoli	Non Dynamic	Non Cdk target
P68400	PML bodies,Nucleoli	Non Dynamic	Cdk target
P68402	Nucleoli	Non Dynamic	Non Cdk target
P78316	Nucleoli	Non Dynamic	Non Cdk target
P78317	PML bodies	Dynamic	Cdk target
P78337	Nucleoli	Non Dynamic	Non Cdk target
P78344	Stress granules	Dynamic	Cdk target
P78345	Nucleoli	Non Dynamic	Non Cdk target
P78346	Nucleoli	Non Dynamic	Non Cdk target
P78347	Nucleoli	Non Dynamic	Cdk target
P78371	Nucleoli	Non Dynamic	Non Cdk target
P78406	NPC,Nucleoli	Non Dynamic	Non Cdk target
P78527	Nucleoli	Non Dynamic	Non Cdk target
P78559	Speckles	Non Dynamic	Non Cdk target
P80192	Nucleoli	Non Dynamic	Non Cdk target
P81605	Stress granules,Speckles	Non Dynamic	Non Cdk target
P82251	Nucleoli	Non Dynamic	Non Cdk target
P82979	Speckles,Nucleoli	Non Dynamic	Non Cdk target
P83111	Speckles	Non Dynamic	Non Cdk target
P83369	Cajal bodies	Non Dynamic	Non Cdk target
P83916	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
P84022	PML bodies	Non Dynamic	Cdk target
P84090	Nucleoli	Non Dynamic	Non Cdk target
P84098	Nucleoli	Non Dynamic	Non Cdk target
P84101	Nucleoli	Non Dynamic	Non Cdk target
P84103	Nucleoli	Non Dynamic	Non Cdk target
P85037	Nucleoli	Non Dynamic	Non Cdk target
P86397	Nucleoli	Non Dynamic	Non Cdk target
P98073	Nucleoli	Non Dynamic	Non Cdk target
P98082	Nucleoli	Non Dynamic	Non Cdk target
P98170	Speckles	Dynamic	Cdk target
P98173	Nucleoli	Non Dynamic	Non Cdk target
P98179	Nucleoli	Non Dynamic	Non Cdk target
P99999	Nucleoli	Non Dynamic	Non Cdk target
Q00325	Speckles	Non Dynamic	Non Cdk target
Q00341	Stress granules	Dynamic	Non Cdk target
Q00403	Nucleoli	Dynamic	Non Cdk target
Q00577	Stress granules	Non Dynamic	Non Cdk target
Q00604	Nucleoli	Non Dynamic	Non Cdk target
Q00839	P-bodies,Nucleoli	Dynamic	Non Cdk target
Q01081	Stress granules,Cajal bodies	Non Dynamic	Non Cdk target
Q01082	P-bodies	Non Dynamic	Non Cdk target
Q01085	Stress granules	Non Dynamic	Non Cdk target
Q01130	Nucleoli	Non Dynamic	Non Cdk target
Q01196	Nucleoli	Non Dynamic	Cdk target
Q01469	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
Q01518	Stress granules	Dynamic	Non Cdk target
Q01780	Nucleoli	Non Dynamic	Non Cdk target
Q01804	Stress granules	Non Dynamic	Non Cdk target
Q01844	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q02045	Nucleoli	Non Dynamic	Non Cdk target
Q02241	Stress granules,P-bodies	Non Dynamic	Cdk target
Q02413	P-bodies	Non Dynamic	Non Cdk target
Q02543	Nucleoli	Non Dynamic	Non Cdk target
Q02880	Nucleoli,P-bodies	Non Dynamic	Cdk target
Q02962	Nucleoli	Non Dynamic	Non Cdk target
Q03252	P-bodies,Speckles	Non Dynamic	Cdk target
Q03701	Nucleoli	Non Dynamic	Non Cdk target
Q03721	Nucleoli	Non Dynamic	Non Cdk target
Q03924	Nucleoli	Non Dynamic	Non Cdk target
Q03989	Nucleoli	Non Dynamic	Non Cdk target
Q04206	Superenhancers-Mediator	Non Dynamic	Non Cdk target
Q04637	Stress granules	Dynamic	Cdk target
Q04724	Nucleoli	Non Dynamic	Non Cdk target
Q04741	Nucleoli	Non Dynamic	Non Cdk target
Q04771	Nucleoli	Non Dynamic	Non Cdk target
Q04917	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q05048	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q05516	PML bodies	Non Dynamic	Cdk target
Q05519	Speckles	Dynamic	Cdk target
Q05639	Nucleoli	Non Dynamic	Non Cdk target
Q05823	Nucleoli	Non Dynamic	Non Cdk target
Q05925	Nucleoli	Non Dynamic	Non Cdk target
Q05D32	Nucleoli	Non Dynamic	Non Cdk target
Q05DA9	Speckles	Non Dynamic	Non Cdk target
Q06124	Nucleoli	Non Dynamic	Non Cdk target
Q06210	Stress granules,Nucleoli	Dynamic	Non Cdk target
Q06265	Nucleoli	Non Dynamic	Non Cdk target
Q06587	Nucleoli	Non Dynamic	Non Cdk target
Q06609	Nucleoli	Non Dynamic	Non Cdk target
Q06730	Nucleoli	Non Dynamic	Non Cdk target
Q06732	Nucleoli	Non Dynamic	Non Cdk target
Q06830	Nucleoli,Stress granules	Non Dynamic	Cdk target
Q07011	Nucleoli	Non Dynamic	Non Cdk target
Q07020	Nucleoli	Non Dynamic	Non Cdk target
Q07666	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q07866	Stress granules	Dynamic	Non Cdk target
Q07955	Stress granules,Nucleoli,PML bodies	Non Dynamic	Non Cdk target
Q08050	Nucleoli	Non Dynamic	Cdk target
Q08170	Stress granules	Dynamic	Non Cdk target
Q08174	Nucleoli	Dynamic	Non Cdk target
Q08211	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
Q08554	P-bodies	Non Dynamic	Non Cdk target
Q08752	Nucleoli	Non Dynamic	Non Cdk target
Q08945	Nucleoli	Non Dynamic	Non Cdk target
Q08999	Nucleoli	Non Dynamic	Cdk target
Q08J23	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q09028	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q09161	P-bodies	Dynamic	Non Cdk target
Q09428	Nucleoli	Non Dynamic	Non Cdk target
Q09472	Superenhancers-Mediator	Dynamic	Cdk target
Q09FC8	Nucleoli	Non Dynamic	Non Cdk target
Q0P6H9	Nucleoli	Non Dynamic	Non Cdk target
Q0VGE8	Nucleoli	Non Dynamic	Non Cdk target
Q0ZGT2	Stress granules	Non Dynamic	Non Cdk target
Q10570	Superenhancers-Mediator	Dynamic	Non Cdk target
Q12766	Nucleoli	Non Dynamic	Non Cdk target
Q12769	NPC	Non Dynamic	Non Cdk target
Q12788	Nucleoli	Non Dynamic	Non Cdk target
Q12789	Nucleoli	Non Dynamic	Non Cdk target
Q12792	Speckles	Non Dynamic	Non Cdk target
Q12796	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
Q12800	PML bodies	Non Dynamic	Cdk target
Q12816	Nucleoli	Non Dynamic	Non Cdk target
Q12824	Nucleoli	Dynamic	Non Cdk target
Q12849	Stress granules,Nucleoli	Non Dynamic	Non Cdk target
Q12857	Superenhancers-Mediator	Non Dynamic	Non Cdk target
Q12873	Nucleoli	Non Dynamic	Non Cdk target
Q12874	Nucleoli,Cajal bodies	Non Dynamic	Non Cdk target
Q12887	Nucleoli	Non Dynamic	Non Cdk target
Q12888	53BP1 bodies	Non Dynamic	Cdk target
Q12905	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
Q12906	Nucleoli,P-bodies	Non Dynamic	Cdk target
Q12923	Nucleoli	Non Dynamic	Non Cdk target
Q12926	Stress granules,P-bodies	Non Dynamic	Non Cdk target
Q12933	Stress granules	Non Dynamic	Non Cdk target
Q12951	Nucleoli	Non Dynamic	Non Cdk target
Q13045	Speckles	Non Dynamic	Non Cdk target
Q13085	Nucleoli	Non Dynamic	Non Cdk target
Q13106	Nucleoli	Non Dynamic	Non Cdk target
Q13123	Stress granules	Non Dynamic	Non Cdk target
Q13129	Nucleoli	Non Dynamic	Non Cdk target
Q13145	Nucleoli	Non Dynamic	Non Cdk target
Q13148	Stress granules	Non Dynamic	Non Cdk target
Q13151	Nucleoli	Non Dynamic	Non Cdk target
Q13163	Nucleoli	Non Dynamic	Non Cdk target
Q13185	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
Q13200	Stress granules	Non Dynamic	Non Cdk target
Q13203	Nucleoli	Non Dynamic	Non Cdk target
Q13206	P-bodies,Nucleoli	Non Dynamic	Non Cdk target
Q13228	Nucleoli	Non Dynamic	Non Cdk target
Q13242	Nucleoli,Stress granules	Dynamic	Cdk target
Q13243	Nucleoli	Non Dynamic	Non Cdk target
Q13263	Nucleoli	Dynamic	Non Cdk target
Q13283	Stress granules	Non Dynamic	Non Cdk target
Q13310	PML bodies	Non Dynamic	Non Cdk target
Q13315	53BP1 bodies,Nucleoli	Non Dynamic	Non Cdk target
Q13330	Superenhancers-Mediator	Dynamic	Cdk target
Q13342	Nucleoli	Non Dynamic	Non Cdk target
Q13347	Stress granules	Non Dynamic	Non Cdk target
Q13409	Nucleoli	Non Dynamic	Cdk target
Q13425	Stress granules	Non Dynamic	Non Cdk target
Q13427	Speckles	Non Dynamic	Non Cdk target
Q13428	Nucleoli	Non Dynamic	Cdk target
Q13435	Nucleoli	Non Dynamic	Non Cdk target
Q13442	Speckles	Dynamic	Non Cdk target
Q13464	Stress granules	Non Dynamic	Non Cdk target
Q13480	Nucleoli	Non Dynamic	Non Cdk target
Q13490	Nucleoli	Non Dynamic	Non Cdk target
Q13503	Nucleoli,Superenhancers-Mediator	Non Dynamic	Non Cdk target
Q13509	Stress granules	Non Dynamic	Non Cdk target
Q13523	Cajal bodies	Non Dynamic	Non Cdk target
Q13535	Nucleoli	Non Dynamic	Cdk target
Q13547	Nucleoli	Non Dynamic	Non Cdk target
Q13595	Nucleoli	Non Dynamic	Non Cdk target
Q13601	Nucleoli	Non Dynamic	Non Cdk target
Q13610	Nucleoli	Non Dynamic	Non Cdk target
Q13616	Nucleoli	Non Dynamic	Non Cdk target
Q13617	Speckles	Non Dynamic	Non Cdk target
Q13627	Nucleoli	Non Dynamic	Non Cdk target
Q13748	Stress granules	Non Dynamic	Non Cdk target
Q13761	Nucleoli	Non Dynamic	Non Cdk target
Q13772	Nucleoli	Non Dynamic	Non Cdk target
Q13813	P-bodies	Non Dynamic	Non Cdk target
Q13823	Nucleoli	Non Dynamic	Non Cdk target
Q13829	Nucleoli	Non Dynamic	Non Cdk target
Q13868	Nucleoli	Non Dynamic	Non Cdk target
Q13888	Nucleoli	Non Dynamic	Non Cdk target
Q13895	Nucleoli	Non Dynamic	Non Cdk target
Q13901	Nucleoli	Non Dynamic	Non Cdk target
Q13951	Stress granules	Non Dynamic	Non Cdk target
Q14004	Nucleoli	Non Dynamic	Non Cdk target
Q14008	Nucleoli	Non Dynamic	Non Cdk target
Q14011	Stress granules	Non Dynamic	Non Cdk target
Q14019	Speckles	Non Dynamic	Non Cdk target
Q14103	Nucleoli	Non Dynamic	Cdk target
Q14135	Nucleoli	Non Dynamic	Cdk target
Q14137	Nucleoli	Dynamic	Non Cdk target
Q14146	Nucleoli	Non Dynamic	Non Cdk target
